stat,m,n,num_perm,a0.01,a0.02,a0.05,a0.1,a0.2
t3,1,163,10000,1470258,1470248,1470188,1469988,1469070
t3,1,164,10000,1497318,1497308,1497248,1497048,1496264
t3,1,165,10000,1524704,1524698,1524620,1524368,1523520
t3,1,166,10000,1552430,1552420,1552360,1552160,1551310
t3,1,167,10000,1580486,1580476,1580416,1580216,1579432
t3,1,168,10000,1608878,1608868,1608808,1608608,1607824
t3,1,169,10000,1637608,1637598,1637538,1637304,1636420
t3,1,170,10000,1666678,1666668,1666608,1666374,1665490
t3,1,171,10000,1696090,1696080,1696020,1695820,1694970
t3,1,172,10000,1725846,1725836,1725758,1725542,1724588
t3,1,173,10000,1755948,1755938,1755878,1755644,1754690
t3,1,174,10000,1786398,1786388,1786328,1786094,1785140
t3,1,175,10000,1817194,1817188,1817110,1816894,1816010
t3,1,176,10000,1848350,1848340,1848280,1848080,1847162
t3,1,177,10000,1879852,1879846,1879768,1879516,1878526
t3,1,178,10000,1911718,1911708,1911648,1911378,1910388
t3,1,179,10000,1943938,1943928,1943868,1943634,1942680
t3,1,180,10000,1976518,1976508,1976448,1976178,1975260
t3,1,181,10000,2009460,2009450,2009390,2009156,2008130
t3,1,182,10000,2042766,2042756,2042696,2042462,2041362
t3,1,183,10000,2076438,2076428,2076350,2076098,2075108
t3,1,184,10000,2110474,2110460,2110390,2110100,2108998
t3,1,185,10000,2144888,2144878,2144800,2144510,2143484
t3,1,186,10000,2179670,2179660,2179582,2179330,2178266
t3,1,187,10000,2214826,2214816,2214738,2214486,2213422
t3,1,188,10000,2250358,2250348,2250270,2250018,2248954
t3,1,189,10000,2286268,2286250,2286180,2285928,2284864
t3,1,190,10000,2322558,2322548,2322470,2322180,2321078
t3,1,191,10000,2359226,2359212,2359142,2358890,2357750
t3,1,192,10000,2396286,2396276,2396178,2395946,2394806
t3,1,193,10000,2433728,2433718,2433640,2433388,2432324
t3,1,194,10000,2471558,2471548,2471470,2471180,2470000
t3,1,195,10000,2509774,2509768,2509690,2509400,2508298
t3,1,196,10000,2548386,2548372,2548302,2548050,2546910
t3,1,197,10000,2587392,2587378,2587288,2586978,2585758
t3,1,198,10000,2626798,2626780,2626690,2626380,2625318
t3,1,199,10000,2666594,2666580,2666490,2666220,2665118
t3,1,200,10000,2706798,2706788,2706690,2706380,2705160
t3,2,1,10000,6,6,6,6,6
t3,2,2,10000,18,18,18,18,14
t3,2,3,10000,38,38,38,38,34
t3,2,4,10000,68,68,68,64,58
t3,2,5,10000,110,110,110,104,98
t3,2,6,10000,166,166,162,160,150
t3,2,7,10000,238,238,234,228,218
t3,2,8,10000,328,328,322,316,300
t3,2,9,10000,438,434,432,422,408
t3,2,10,10000,570,566,560,552,530
t3,2,11,10000,726,722,716,706,684
t3,2,12,10000,908,904,896,880,856
t3,2,13,10000,1118,1112,1102,1088,1062
t3,2,14,10000,1354,1352,1340,1328,1288
t3,2,15,10000,1626,1624,1612,1590,1558
t3,2,16,10000,1932,1926,1916,1894,1852
t3,2,17,10000,2274,2268,2254,2232,2188
t3,2,18,10000,2652,2646,2630,2604,2550
t3,2,19,10000,3072,3066,3048,3022,2966
t3,2,20,10000,3534,3528,3510,3474,3414
t3,2,21,10000,4040,4034,4006,3974,3910
t3,2,22,10000,4592,4582,4558,4526,4448
t3,2,23,10000,5188,5180,5156,5110,5038
t3,2,24,10000,5838,5830,5800,5758,5668
t3,2,25,10000,6538,6530,6502,6454,6358
t3,2,26,10000,7296,7288,7254,7206,7104
t3,2,27,10000,8108,8098,8064,8008,7898
t3,2,28,10000,8976,8960,8922,8862,8748
t3,2,29,10000,9906,9894,9852,9788,9668
t3,2,30,10000,10898,10882,10840,10774,10640
t3,2,31,10000,11950,11936,11892,11824,11686
t3,2,32,10000,13068,13054,13006,12934,12788
t3,2,33,10000,14262,14248,14194,14118,13962
t3,2,34,10000,15522,15508,15454,15372,15198
t3,2,35,10000,16852,16836,16786,16698,16510
t3,2,36,10000,18258,18246,18182,18092,17912
t3,2,37,10000,19738,19716,19658,19550,19362
t3,2,38,10000,21298,21278,21218,21118,20924
t3,2,39,10000,22938,22916,22848,22738,22534
t3,2,40,10000,24656,24638,24566,24452,24232
t3,2,41,10000,26458,26434,26366,26246,25990
t3,2,42,10000,28358,28332,28248,28128,27888
t3,2,43,10000,30328,30298,30220,30086,29836
t3,2,44,10000,32404,32380,32296,32160,31884
t3,2,45,10000,34562,34534,34440,34300,34020
t3,2,46,10000,36816,36786,36692,36556,36276
t3,2,47,10000,39168,39142,39044,38892,38580
t3,2,48,10000,41618,41588,41488,41312,41008
t3,2,49,10000,44164,44128,44038,43870,43556
t3,2,50,10000,46810,46778,46678,46516,46166
t3,2,51,10000,49566,49522,49422,49254,48886
t3,2,52,10000,52438,52408,52302,52116,51736
t3,2,53,10000,55392,55348,55228,55026,54630
t3,2,54,10000,58472,58436,58326,58124,57722
t3,2,55,10000,61668,61628,61502,61302,60870
t3,2,56,10000,64974,64928,64806,64590,64146
t3,2,57,10000,68392,68354,68228,67988,67554
t3,2,58,10000,71926,71878,71734,71492,71024
t3,2,59,10000,75590,75530,75398,75136,74648
t3,2,60,10000,79366,79312,79162,78910,78410
t3,2,61,10000,83266,83218,83062,82836,82326
t3,2,62,10000,87298,87244,87086,86798,86254
t3,2,63,10000,91470,91418,91250,90984,90436
t3,2,64,10000,95756,95708,95538,95238,94674
t3,2,65,10000,100174,100116,99944,99674,99068
t3,2,66,10000,104720,104666,104470,104168,103556
t3,2,67,10000,109418,109350,109152,108850,108234
t3,2,68,10000,114236,114166,113984,113672,113060
t3,2,69,10000,119208,119146,118950,118628,118014
t3,2,70,10000,124320,124270,124080,123744,123076
t3,2,71,10000,129580,129504,129304,128976,128316
t3,2,72,10000,134974,134898,134706,134348,133658
t3,2,73,10000,140528,140454,140250,139874,139158
t3,2,74,10000,146208,146132,145884,145502,144812
t3,2,75,10000,152074,152008,151798,151426,150634
t3,2,76,10000,158072,157996,157772,157390,156598
t3,2,77,10000,164228,164132,163898,163510,162728
t3,2,78,10000,170564,170484,170260,169828,169002
t3,2,79,10000,177034,176952,176688,176274,175468
t3,2,80,10000,183670,183574,183308,182872,182040
t3,2,81,10000,190458,190370,190076,189642,188768
t3,2,82,10000,197444,197358,197090,196650,195702
t3,2,83,10000,204578,204480,204204,203768,202854
t3,2,84,10000,211862,211768,211482,211018,210128
t3,2,85,10000,219344,219270,218996,218480,217480
t3,2,86,10000,227014,226906,226616,226142,225112
t3,2,87,10000,234868,234774,234492,233968,232974
t3,2,88,10000,242856,242754,242452,241902,240862
t3,2,89,10000,251032,250936,250608,250112,249040
t3,2,90,10000,259404,259320,258980,258446,257372
t3,2,91,10000,267976,267848,267506,266978,265854
t3,2,92,10000,276702,276618,276300,275754,274666
t3,2,93,10000,285648,285522,285182,284626,283448
t3,2,94,10000,294768,294628,294256,293626,292482
t3,2,95,10000,304064,303946,303584,302990,301820
t3,2,96,10000,313600,313470,313082,312424,311244
t3,2,97,10000,323262,323146,322752,322150,320944
t3,2,98,10000,333184,333078,332694,332038,330758
t3,2,99,10000,343270,343158,342786,342168,340860
t3,2,100,10000,353546,353410,353030,352392,351066
t3,2,101,10000,364070,363936,363520,362816,361548
t3,2,102,10000,374788,374638,374228,373514,372064
t3,2,103,10000,385706,385556,385136,384446,382996
t3,2,104,10000,396804,396658,396226,395492,394014
t3,2,105,10000,408178,408034,407590,406890,405280
t3,2,106,10000,419686,419554,419106,418356,416916
t3,2,107,10000,431466,431338,430882,430108,428560
t3,2,108,10000,443468,443288,442844,442098,440576
t3,2,109,10000,455658,455498,455036,454260,452704
t3,2,110,10000,468104,467936,467370,466580,465008
t3,2,111,10000,480752,480592,480104,479288,477646
t3,2,112,10000,493628,493448,492968,492154,490448
t3,2,113,10000,506774,506594,506108,505238,503478
t3,2,114,10000,520072,519916,519388,518548,516836
t3,2,115,10000,533644,533470,532960,532060,530320
t3,2,116,10000,547462,547254,546726,545812,544056
t3,2,117,10000,561492,561300,560700,559764,557982
t3,2,118,10000,575756,575612,575028,574092,572310
t3,2,119,10000,590304,590130,589538,588618,586640
t3,2,120,10000,605048,604846,604270,603346,601450
t3,2,121,10000,620018,619794,619186,618226,616354
t3,2,122,10000,635312,635116,634532,633588,631540
t3,2,123,10000,650776,650564,649932,648936,647038
t3,2,124,10000,666528,666300,665680,664650,662678
t3,2,125,10000,682566,682368,681760,680706,678580
t3,2,126,10000,698814,698612,698028,696882,694752
t3,2,127,10000,715278,715022,714402,713408,711330
t3,2,128,10000,732078,731862,731228,730238,728180
t3,2,129,10000,749096,748858,748244,747230,744980
t3,2,130,10000,766396,766162,765490,764372,762236
t3,2,131,10000,783902,783698,783084,781942,779740
t3,2,132,10000,801708,801526,800816,799714,797466
t3,2,133,10000,819842,819606,818890,817768,815448
t3,2,134,10000,838198,837958,837176,835988,833616
t3,2,135,10000,856826,856590,855818,854550,852152
t3,2,136,10000,875690,875466,874656,873380,871112
t3,2,137,10000,894900,894608,893810,892528,890060
t3,2,138,10000,914374,914072,913444,912220,909844
t3,2,139,10000,934136,933824,933080,931754,929116
t3,2,140,10000,954068,953800,953030,951700,949168
t3,2,141,10000,974428,974190,973386,972150,969520
t3,2,142,10000,995014,994754,993930,992616,990060
t3,2,143,10000,1015888,1015570,1014822,1013368,1010784
t3,2,144,10000,1037046,1036778,1035968,1034648,1031994
t3,2,145,10000,1058480,1058210,1057388,1055978,1053066
t3,2,146,10000,1080296,1080024,1079060,1077786,1075002
t3,2,147,10000,1102222,1101948,1101130,1099876,1096960
t3,2,148,10000,1124636,1124350,1123474,1122086,1119224
t3,2,149,10000,1147326,1147010,1146062,1144574,1141610
t3,2,150,10000,1170256,1169970,1169090,1167702,1164846
t3,2,151,10000,1193512,1193226,1192270,1190754,1187902
t3,2,152,10000,1217022,1216668,1215622,1214128,1211076
t3,2,153,10000,1240938,1240628,1239708,1238148,1235078
t3,2,154,10000,1265106,1264812,1263860,1262268,1259100
t3,2,155,10000,1289570,1289304,1288380,1286790,1283750
t3,2,156,10000,1314446,1314164,1313092,1311470,1308148
t3,2,157,10000,1339462,1339132,1338162,1336510,1333248
t3,2,158,10000,1364942,1364588,1363664,1362018,1358768
t3,2,159,10000,1390668,1390338,1389468,1387758,1384434
t3,2,160,10000,1416810,1416432,1415428,1413802,1410268
t3,2,161,10000,1443166,1442826,1441794,1440082,1436806
t3,2,162,10000,1469942,1469612,1468564,1466808,1463434
t3,2,163,10000,1496936,1496562,1495634,1493752,1490378
t3,2,164,10000,1524290,1523988,1522958,1521170,1517648
t3,2,165,10000,1552102,1551816,1550800,1548970,1545592
t3,2,166,10000,1580140,1579756,1578692,1576916,1573228
t3,2,167,10000,1608496,1608140,1607084,1605250,1601514
t3,2,168,10000,1637244,1636894,1635844,1633978,1630162
t3,2,169,10000,1666288,1665918,1664786,1662856,1658968
t3,2,170,10000,1695706,1695330,1694230,1692280,1688400
t3,2,171,10000,1725504,1725140,1724070,1722186,1718364
t3,2,172,10000,1755510,1755118,1753948,1751982,1748126
t3,2,173,10000,1785978,1785594,1784378,1782384,1778516
t3,2,174,10000,1816820,1816432,1815208,1813282,1809326
t3,2,175,10000,1847952,1847592,1846370,1844446,1840490
t3,2,176,10000,1879376,1878946,1877750,1875786,1871646
t3,2,177,10000,1911338,1910986,1909644,1907596,1903488
t3,2,178,10000,1943472,1943098,1941952,1939914,1935728
t3,2,179,10000,1976010,1975618,1974334,1972404,1968108
t3,2,180,10000,2009000,2008550,2007276,2005250,2001110
t3,2,181,10000,2042372,2041968,2040712,2038578,2034410
t3,2,182,10000,2075958,2075518,2074168,2072114,2067788
t3,2,183,10000,2110054,2109580,2108296,2106136,2101868
t3,2,184,10000,2144422,2144004,2142770,2140514,2136056
t3,2,185,10000,2179252,2178814,2177612,2175310,2171026
t3,2,186,10000,2214376,2213968,2212692,2210406,2206004
t3,2,187,10000,2249898,2249470,2248198,2245858,2241388
t3,2,188,10000,2285724,2285248,2283872,2281536,2277088
t3,2,189,10000,2322084,2321568,2320208,2317824,2313014
t3,2,190,10000,2358770,2358302,2356820,2354466,2349882
t3,2,191,10000,2395796,2395294,2393994,2391576,2386740
t3,2,192,10000,2433218,2432736,2431296,2428756,2423756
t3,2,193,10000,2471030,2470540,2469068,2466674,2461856
t3,2,194,10000,2509304,2508814,2507380,2505050,2499878
t3,2,195,10000,2547830,2547330,2545924,2543530,2538532
t3,2,196,10000,2586846,2586354,2584892,2582200,2577170
t3,2,197,10000,2626310,2625826,2624208,2621824,2616498
t3,2,198,10000,2666048,2665606,2664090,2661600,2656628
t3,2,199,10000,2706288,2705770,2704238,2701648,2696544
t3,2,200,10000,2746928,2746470,2744910,2742432,2737050
t3,3,1,10000,12,12,12,12,12
t3,3,2,10000,32,32,32,26,22
t3,3,3,10000,62,62,56,52,48
t3,3,4,10000,104,104,98,92,84
t3,3,5,10000,160,154,150,142,130
t3,3,6,10000,232,226,218,208,192
t3,3,7,10000,316,312,302,292,272
t3,3,8,10000,426,420,408,396,372
t3,3,9,10000,554,550,534,518,492
t3,3,10,10000,710,702,684,666,630
t3,3,11,10000,890,878,860,836,800
t3,3,12,10000,1098,1084,1064,1036,994
t3,3,13,10000,1334,1324,1298,1268,1220
